student,english,smoker,statfuture,haircut,lecture,alone,height_in,favcolor,lastsleep,year
201401,English,1,7,35,4,5,68,green,6,2014
201402,English,1,6,35,3,2,64,green,7,2014
201403,English,1,7,15,5,1,72,orange,6,2014
201404,English,1,6,12,4,2,66,green,6,2014
201405,English,1,7,10,2,3,68,green,6,2014
201406,English,2,7,28,5,5,66,blue,8,2014
201407,Not_English,1,5,50,1,1,64,red,7,2014
201408,English,1,7,70,3,4,67,blue,6.5,2014
201409,NA,1,5,32,2,3,63,red,7,2014
201410,Not_English,1,6,18,3,3,65,purple,4,2014
201411,English,1,6,30,4,3,65,green,6,2014
201412,Not_English,2,7,0,2,3,70,gray,7,2014
201413,English,1,5,55,1,2,64,blue,7,2014
201414,English,1,7,0,3,2,70,blue,6,2014
201415,English,1,5,20,2,2,60,gray,6,2014
201416,English,1,6,60,3,3,72,green,8,2014
201417,Not_English,1,5,25,4,4,71,blue,6,2014
201418,English,1,5,15,4,4,67,red,7,2014
201419,English,1,6,25,3,4,65,green,6,2014
201420,Not_English,1,7,15,2,3,71,brown,6,2014
201421,English,1,7,28,2,4,63,blue,7,2014
201422,English,1,7,9,4,3,72,blue,8,2014
201423,Not_English,1,7,5,4,2,71,blue,9,2014
201424,English,1,7,0,2,2,64,green,7,2014
201425,Not_English,1,7,100,3,1,63,blue,9,2014
201426,Not_English,1,6,25,2,3,72,NA,6,2014
201427,English,1,7,15,1,2,70,NA,7,2014
201428,English,1,7,25,3,2,70,blue,6,2014
201429,English,1,6,30,2,3,64,blue,7.5,2014
201430,English,1,6,20,3,3,NA,blue,8.5,2014
201431,English,1,6,0,3,2,68,green,8,2014
201432,English,1,NA,NA,NA,NA,NA,NA,NA,2014
201433,English,1,5,14,3,1,72,blue,7,2014
201434,English,1,7,7,4,2,73,blue,7,2014
201435,English,1,4,14,2,1,71,green,8.5,2014
201436,English,1,6,15,3,3,70,blue,8,2014
201437,English,1,7,20,3,3,73,blue,6,2014
201438,English,1,6,25,1,1,71,blue,8,2014
201439,Not_English,1,7,12,5,3,67,white,6,2014
201440,English,1,5,18,2,2,67,white,9,2014
201441,Not_English,1,6,15,2,2,68,pink,8,2014
201442,English,1,6,25,5,1,64,green,4,2014
201501,Not_English,1,7,15,3,3,61,blue,8,2015
201502,English,1,7,7,4,4,71,blue,8,2015
201503,English,1,7,19,2,2,67,yellow,8,2015
201504,English,1,7,30,4,4,66,blue,6.5,2015
201505,English,1,5,35,2,4,66,red,4,2015
201506,Not_English,1,7,5,3,2,70,blue,9,2015
201507,English,1,7,0,3,4,74,blue,7,2015
201508,English,1,6,17.5,4,4,72,blue,7,2015
201509,English,1,6,0,2,4,71,red,7.5,2015
201510,English,1,5,32,2,4,72,blue,5,2015
201511,English,1,7,14,2,2,62,white,6,2015
201512,Not_English,1,6,5,2,2,68,red,9,2015
201513,English,1,7,5,3,3,71,red,9,2015
201514,English,1,6,25,3,4,63,purple,9,2015
201515,English,1,6,0,3,2,73,blue,7.5,2015
201516,English,1,7,25,2,3,66,NA,8,2015
201517,English,1,6,10,3,2,61,purple,7,2015
201518,English,2,7,50,2,3,64,blue,8,2015
201519,English,1,6,15,4,3,67,orange,6.5,2015
201520,English,1,5,30,2,3,64,pink,8,2015
201521,English,1,6,17,4,3,72,green,8,2015
201522,Not_English,1,5,35,2,2,64,pink,8,2015
201523,English,1,6,60,2,5,68,green,6,2015
201524,English,1,5,15,4,5,72,green,9,2015
201525,Not_English,1,4,20,2,3,69,blue,8,2015
201526,English,1,6,60,2,3,63,blue,6,2015
201527,English,1,6,0,3,3,68,blue,8,2015
201528,English,1,3,30,2,4,68,purple,8.5,2015
201529,English,1,5,20,2,3,68,blue,6.5,2015
201530,English,1,5,3,2,3,67,blue,7.5,2015
201531,English,1,7,0,5,5,68,yellow,8,2015
201532,English,1,6,210,3,2,70,purple,7.5,2015
201533,English,1,5,14,4,3,69,green,8,2015
